datetimeisoformat;Ch1-S;Ch2-D;PC3;PE4
2022-03-29T05:34:05.101309+00:00;0.30;0.29;0.02;0.14;
2022-03-29T05:35:05.757490+00:00;0.31;0.27;0.06;0.12;
2022-03-29T05:36:06.217889+00:00;0.33;0.33;0.06;0.10;
2022-03-29T05:37:05.223105+00:00;0.30;0.25;0.02;0.15;
2022-03-29T05:38:05.717942+00:00;0.30;0.30;0.05;0.11;
2022-03-29T05:39:06.190044+00:00;0.31;0.39;0.02;0.11;
2022-03-29T05:40:05.076699+00:00;0.30;0.29;0.07;0.11;
2022-03-29T05:41:05.537875+00:00;0.32;0.29;0.05;0.11;
2022-03-29T05:42:06.050591+00:00;0.36;0.29;0.04;0.10;
2022-03-29T05:43:05.058026+00:00;0.31;0.26;0.06;0.11;
2022-03-29T05:44:05.577923+00:00;0.32;0.29;0.06;0.10;
2022-03-29T05:45:06.050096+00:00;0.35;0.25;0.04;0.10;
2022-03-29T05:46:05.122748+00:00;0.32;0.25;0.06;0.10;
2022-03-29T05:47:05.716991+00:00;0.31;0.26;0.04;0.10;
2022-03-29T05:48:04.756689+00:00;0.34;0.26;0.06;0.10;
2022-03-29T05:49:05.236310+00:00;0.32;0.27;0.01;0.10;
2022-03-29T05:50:05.703213+00:00;0.38;0.34;0.03;0.12;
2022-03-29T05:51:04.709451+00:00;0.30;0.43;0.04;0.12;
2022-03-29T05:52:05.364938+00:00;0.39;0.31;0.06;0.15;
2022-03-29T05:53:06.158113+00:00;0.35;0.33;0.05;0.11;
2022-03-29T05:54:05.083152+00:00;0.31;0.30;0.04;0.11;
2022-03-29T05:55:05.591133+00:00;0.31;0.26;0.03;0.10;
2022-03-29T05:56:06.035892+00:00;0.30;0.28;0.04;0.11;
2022-03-29T05:57:05.249547+00:00;0.34;0.28;0.03;0.11;
2022-03-29T05:58:05.690187+00:00;0.29;0.28;0.06;0.10;
2022-03-29T05:59:04.839711+00:00;0.30;0.30;0.05;0.10;
2022-03-29T06:00:05.321076+00:00;0.31;0.26;0.05;0.10;
2022-03-29T06:01:06.126924+00:00;0.30;0.26;0.05;0.10;
2022-03-29T06:02:05.128501+00:00;0.29;0.28;0.04;0.10;
2022-03-29T06:03:05.563630+00:00;0.28;0.27;0.03;0.14;
2022-03-29T06:04:06.029247+00:00;0.26;0.34;0.05;0.10;
2022-03-29T06:05:04.932134+00:00;0.33;0.28;0.02;0.11;
2022-03-29T06:06:05.473009+00:00;0.32;0.28;0.07;0.10;
2022-03-29T06:07:06.017088+00:00;0.29;0.30;0.03;0.10;
2022-03-29T06:08:04.997910+00:00;0.30;0.31;0.06;0.10;
2022-03-29T06:09:05.445236+00:00;0.29;0.36;0.05;0.09;
2022-03-29T06:10:05.977520+00:00;0.30;0.25;0.08;0.11;
2022-03-29T06:11:04.866051+00:00;0.31;0.29;0.04;0.11;
2022-03-29T06:12:05.580531+00:00;0.36;0.31;0.05;0.12;
