datetimeisoformat,Ch1-S,Ch2-D,PC3,PE4
2022-03-21T18:33:58.563979+00:00,0.34,0.52,0.05,0.11
2022-03-21T18:34:08.461097+00:00,0.42,0.24,0.03,0.1
2022-03-21T18:34:18.332899+00:00,0.37,0.25,0.06,0.12
2022-03-21T18:34:28.209921+00:00,0.39,0.28,0.07,0.12
2022-03-21T18:34:38.106139+00:00,0.37,0.23,0.04,0.11
2022-03-21T18:34:47.982395+00:00,0.37,0.3,0.04,0.11
2022-03-21T18:34:57.887236+00:00,0.33,0.29,0.07,0.1
2022-03-21T18:35:07.775786+00:00,0.36,0.25,0.05,0.14
2022-03-21T18:35:17.638332+00:00,0.42,0.3,0.06,0.11
2022-03-21T18:35:29.145587+00:00,0.35,0.28,0.04,0.11
2022-03-21T18:35:39.016515+00:00,0.38,0.27,0.06,0.11
2022-03-21T18:35:48.923060+00:00,0.41,0.27,0.08,0.1
2022-03-21T18:35:58.805671+00:00,0.4,0.31,0.06,0.11
2022-03-21T18:36:08.716858+00:00,0.36,0.27,0.04,0.11
2022-03-21T18:36:18.591043+00:00,0.34,0.22,0.05,0.12
2022-03-21T18:36:28.464571+00:00,0.36,0.28,0.03,0.12
2022-03-21T18:36:38.336896+00:00,0.37,0.32,0.05,0.1
2022-03-21T18:36:48.256777+00:00,0.36,0.23,0.03,0.11
2022-03-21T18:36:58.174913+00:00,0.4,0.26,0.05,0.11
2022-03-21T18:37:08.085722+00:00,0.38,0.33,0.06,0.13
